8769,Hiyokoi
8795,Ore no Imouto ga Konnani Kawaii Wake ga Nai
8841,Panty & Stocking with Garterbelt
8861,Kore wa Zombie Desu ka?
8876,Yosuga no Sora: In Solitude Where We Are Least Alone.
8888,Koe de Oshigoto! The Animation
8915,Code Geass: Boukoku no Akito 1 - Yokuryuu wa Maiorita
8917,Dantalian no Shoka
8934,Mouretsu Pirates
8937,Star Driver: Kagayaki no Takuto
9041,Toaru Majutsu no Index II
9062,IS: Infinite Stratos
9074,Angel Beats! Specials
9135,Arakawa Under the Bridge x Bridge
9181,Fullmetal Alchemist: The Sacred Star of Milos
9253,Motto To LOVE-Ru
9260,Steins;Gate
9289,Kizumonogatari I: Tekketsu-hen
9314,Hanasaku Iroha
9330,Fractale
9331,Dragon Crisis!
9367,Yumekui Merry
9379,Freezing
9471,Denpa Onna to Seishun Otoko
9479,Baka to Test to Shoukanjuu: Matsuri
9513,Coppelion
9515,Beelzebub
9587,Highschool of the Dead: Drifters of the Dead
9617,Oniichan no Koto nanka Zenzen Suki ja Nai n da kara ne!!
9656,K-On! Movie
9736,Kimi ni Todoke 2nd Season
9750,Astarotte no Omocha!
9756,Itsuka Tenma no Kuro Usagi
9760,Mahou Shoujo Madoka★Magica
9776,Hoshi wo Ou Kodomo
9834,A-Channel
9863,Level E
9919,SKET Dance
9926,Ao no Exorcist
9936,Sekaiichi Hatsukoi
9938,Maken-Ki!
9941,Ikoku Meiro no Croisée The Animation
9969,Tiger & Bunny
9981,Gintama'
9989,Phi Brain: Kami no Puzzle
10012,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.
10020,Carnival Phantasm
10030,Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials
10049,Bakuman. 2nd Season
10067,Nurarihyon no Mago: Sennen Makyou
10079,Angel Beats!: Another Epilogue
10080,Hoshizora e Kakaru Hashi
10087,Kami nomi zo Shiru Sekai II
10110,Fate/Zero
10155,Mayo Chiki!
10161,Dog Days
10162,No.6
10163,Usagi Drop
10165,C: The Money of Soul and Possibility Control
10209,Nichijou
10213,Kore wa Zombie Desu ka? OVA
10218,Maji de Watashi ni Koi Shinasai!
10278,Berserk: Ougon Jidai-hen I - Haou no Tamago
10321,The iDOLM@STER
10357,Uta no☆Prince-sama♪: Maji Love 1000%
10372,Jinrui wa Suitai Shimashita
10379,Kamisama Dolls
10396,Natsume Yuujinchou San
10397,Ben-To
10408,Mashiro-iro Symphony: The Color of Lovers
10418,Hotarubi no Mori e
10456,Deadman Wonderland: Akai Knife Tsukai
10460,Kyoukaisenjou no Horizon
10490,Kimi to Boku.
10495,Blood-C
10521,Yuru Yuri
10568,Working'!!
10578,Kamisama no Memochou
10588,C³
10620,Persona 4 the Animation
10711,Mirai Nikki (TV)
10719,Plastic Neesan
10721,Boku wa Tomodachi ga Sukunai
10790,Mawaru Penguindrum
10793,Kore wa Zombie Desu ka? of the Dead
10798,Guilty Crown
10800,Un-Go
10863,Chihayafuru
10897,Steins;Gate: Oukoubakko no Poriomania
11013,Boku wa Tomodachi ga Sukunai Episode 0
11061,Inu x Boku SS
11111,Hunter x Hunter (2011)
11179,Another
11235,Papa no Iukoto wo Kikinasai!
11241,Amagami SS+ Plus
11285,Brave 10
11319,Black★Rock Shooter (TV)
11433,Zero no Tsukaima F
11499,Ano Natsu de Matteru
11553,Sankarea
11577,Toradora!: Bentou no Gokui
11597,Steins;Gate Movie: Fuka Ryouiki no Déjà vu
11617,Nisemonogatari
11633,High School DxD
11665,Blood Lad
11701,Natsume Yuujinchou Shi
11703,Another: The Other - Inga
11737,Code:Breaker
11741,Ao no Exorcist Movie
11757,Fate/Zero 2nd Season
11759,Sword Art Online
11761,Accel World
11771,Medaka Box
11785,Kuroko no Basket
11837,Haiyore! Nyaruko-san
11843,Zetman
11887,Danshi Koukousei no Nichijou
11933,Kokoro Connect
11977,Oda Nobuna no Yabou
11979,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari
11981,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari
12175,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari
12189,Koi to Senkyo to Chocolate
12291,Hyouka
12293,Acchi Kocchi (TV)
12355,Campione!: Matsurowanu Kamigami to Kamigoroshi no Maou
12365,Ookami Kodomo no Ame to Yuki
12403,Bakuman. 3rd Season
12413,Yuru Yuri♪♪
12431,Jormungand
12445,Uchuu Kyoudai
12467,Tasogare Otome x Amnesia
12477,Nazo no Kanojo X
12531,Sakasama no Patema
12549,Sakamichi no Apollon
12729,Dakara Boku wa H ga Dekinai.
12883,High School DxD OVA
12967,Tsuritama
13125,Arcana Famiglia
13161,Shinsekai yori
13331,Hagure Yuusha no Aesthetica
13333,Jormungand: Perfect Order
13367,Tari Tari
13469,Kono Naka ni Hitori Imouto ga Iru!
13535,Hyouka: Motsubeki Mono wa
13599,Binbougami ga!
13601,Robotics;Notes
13655,Psycho-Pass
13659,Little Busters!
13663,Ore no Imouto ga Konnani Kawaii Wake ga Nai.
13759,To LOVE-Ru Darkness
14075,Sakura-sou no Pet na Kanojo
14131,Zetsuen no Tempest
14199,Girls & Panzer
14227,Oniichan dakedo Ai sae Areba Kankeinai yo ne!
14289,Tonari no Kaibutsu-kun
14345,Sukitte Ii na yo.
14349,Btooom!
14353,Little Witch Academia
14397,Death Billiards
14467,Chihayafuru 2
14513,K
14515,Magi: The Labyrinth of Magic
14713,Sasami-san@Ganbaranai
14719,Kamisama Hajimemashita
14741,JoJo no Kimyou na Bouken (TV)
14749,Chuunibyou demo Koi ga Shitai!
14751,Ore no Kanojo to Osananajimi ga Shuraba Sugiru
14811,Bishoujo Senshi Sailor Moon Crystal
14813,GJ-bu
14829,Yahari Ore no Seishun Love Comedy wa Machigatteiru.
14833,Fate/kaleid liner Prisma☆Illya
14921,Maoyuu Maou Yuusha
14967,RDG: Red Data Girl
15037,Boku wa Tomodachi ga Sukunai Next
15039,Corpse Party: Tortured Souls - Bougyakusareta Tamashii no Jukyou
15051,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie
